num_wavefunction, num_operator, time
701, 51, 35070, 963
801, 51, 35920, 1037
901, 51, 35292, 1041
1001, 51, 38099, 1313
1101, 51, 35526, 1284
1201, 51, 39074, 1392
1301, 51, 39971, 1410
1401, 51, 41779, 1524
1501, 51, 38788, 1478
1601, 51, 37211, 1589
1701, 51, 42709, 1573
1801, 51, 40349, 1647
1901, 51, 35454, 1606
2001, 51, 38683, 1647
2101, 51, 38764, 1863
2201, 51, 40556, 1634
2301, 51, 40341, 1715
2401, 51, 39619, 1723
2501, 51, 37790, 1773
2601, 51, 41263, 1786
2701, 51, 42028, 1781
2801, 51, 41265, 1770
2901, 51, 40956, 1810
3001, 51, 40409, 1861
3101, 51, 39360, 1909
3201, 51, 38825, 1832
3301, 51, 38699, 1954
3401, 51, 40839, 1851
3501, 51, 41715, 1896
3601, 51, 42824, 1976
3701, 51, 39830, 1983
3801, 51, 40327, 2045
3901, 51, 40545, 1920
4001, 51, 39960, 1964
4101, 51, 38980, 2010
4201, 51, 41827, 2008
4301, 51, 43757, 1995
4401, 51, 40665, 2044
4501, 51, 42683, 1998
4601, 51, 41387, 2015
4701, 51, 40727, 1967
4801, 51, 40311, 1996
4901, 51, 39622, 1985
5001, 51, 40917, 1998
5101, 51, 39979, 2002
5201, 51, 43280, 1990
5301, 51, 40088, 2010
5401, 51, 46000, 1997
5501, 51, 45363, 2028
5601, 51, 43198, 2141
5701, 51, 42216, 2013
5801, 51, 39561, 2029
5901, 51, 39621, 2024
6001, 51, 40860, 2036
6101, 51, 41125, 2040
6201, 51, 40441, 2027
6301, 51, 44513, 2029
6401, 51, 40357, 2159
6501, 51, 39913, 2028
6601, 51, 43526, 2216
6701, 51, 40078, 2105
6801, 51, 40576, 2049
6901, 51, 37102, 2055
7001, 51, 42036, 2050
7101, 51, 41833, 2163
7201, 51, 37638, 2048
7301, 51, 42418, 2115
7401, 51, 39435, 2048
7501, 51, 41399, 2047
7601, 51, 42211, 2059
7701, 51, 42105, 2049
7801, 51, 39720, 2058
7901, 51, 45386, 2112
8001, 51, 43763, 2058
8101, 51, 40249, 2055
8201, 51, 42372, 2424
8301, 51, 45536, 2057
8401, 51, 42087, 2062
8501, 51, 40959, 2066
8601, 51, 44699, 2060
8701, 51, 44040, 2064
8801, 51, 46079, 2060
8901, 51, 41731, 2060
9001, 51, 43935, 2065
9101, 51, 45815, 2071
9201, 51, 43418, 2187
9301, 51, 41170, 2068
9401, 51, 42490, 2067
9501, 51, 43723, 2256
9601, 51, 40489, 2064
9701, 51, 43763, 2192
9801, 51, 41153, 2072
9901, 51, 41839, 2065
1, 61, 32547, 1
101, 61, 34805, 243
201, 61, 36393, 483
301, 61, 39705, 622
401, 61, 34562, 610
501, 61, 38612, 884
601, 61, 38660, 879
701, 61, 37648, 1045
801, 61, 42446, 1082
901, 61, 37812, 1122
1001, 61, 44941, 1397
1101, 61, 43748, 1353
1201, 61, 42942, 1439
1301, 61, 47808, 1561
1401, 61, 48213, 1602
1501, 61, 47944, 1530
1601, 61, 48024, 1637
1701, 61, 46841, 1648
1801, 61, 53897, 1711
1901, 61, 46242, 1648
2001, 61, 46727, 1696
2101, 61, 49486, 1977
2201, 61, 47793, 1658
2301, 61, 47968, 1759
2401, 61, 47446, 1762
2501, 61, 51379, 1797
2601, 61, 51599, 1837
2701, 61, 47375, 1805
2801, 61, 49738, 1799
2901, 61, 47308, 1835
3001, 61, 48731, 1900
3101, 61, 48290, 1922
3201, 61, 53352, 1856
3301, 61, 49773, 1982
3401, 61, 49982, 1891
3501, 61, 48864, 1901
3601, 61, 51668, 2050
3701, 61, 48514, 2197
3801, 61, 48595, 2053
3901, 61, 47496, 1991
4001, 61, 46724, 2038
4101, 61, 50783, 2085
4201, 61, 46331, 2017
4301, 61, 46784, 2033
4401, 61, 50338, 2111
4501, 61, 51364, 2003
4601, 61, 48097, 2027
4701, 61, 49730, 1983
4801, 61, 50024, 2014
4901, 61, 50300, 2002
5001, 61, 52456, 2011
5101, 61, 49066, 2006
5201, 61, 49608, 1999
5301, 61, 50134, 2016
5401, 61, 48286, 2005
5501, 61, 49977, 2034
5601, 61, 49327, 2153
5701, 61, 49370, 2021
5801, 61, 46250, 2037
5901, 61, 47290, 2027
6001, 61, 48643, 2043
6101, 61, 46198, 2042
6201, 61, 46455, 2035
6301, 61, 49450, 2037
6401, 61, 51556, 2412
6501, 61, 47902, 2032
6601, 61, 49489, 2222
6701, 61, 51034, 2113
6801, 61, 53654, 2053
6901, 61, 50751, 2056
7001, 61, 50851, 2052
7101, 61, 51875, 2172
7201, 61, 49345, 2052
7301, 61, 50208, 2179
7401, 61, 51210, 2111
7501, 61, 53981, 2055
7601, 61, 48349, 2063
7701, 61, 47289, 2053
7801, 61, 46870, 2062
7901, 61, 50472, 2117
8001, 61, 49136, 2058
8101, 61, 52388, 2116
8201, 61, 50033, 2499
8301, 61, 53733, 2061
8401, 61, 48236, 2063
8501, 61, 51353, 2069
8601, 61, 50175, 2063
8701, 61, 51225, 2067
8801, 61, 49609, 2064
8901, 61, 52304, 2061
9001, 61, 51080, 2066
9101, 61, 53580, 2074
9201, 61, 51110, 2194
9301, 61, 48286, 2073
9401, 61, 51902, 2068
9501, 61, 50301, 2259
9601, 61, 51175, 2068
9701, 61, 50678, 2314
9801, 61, 52642, 2075
9901, 61, 52023, 2065
1, 71, 44748, 2
101, 71, 43373, 282
201, 71, 43124, 544
301, 71, 49633, 659
401, 71, 42231, 721
501, 71, 40513, 1000
601, 71, 46198, 984
701, 71, 48153, 1123
801, 71, 47932, 1179
901, 71, 49095, 1219
1001, 71, 48526, 1450
1101, 71, 50686, 1509
1201, 71, 51961, 1464
1301, 71, 51578, 1686
1401, 71, 55261, 1677
1501, 71, 55978, 1570
1601, 71, 56804, 1702
1701, 71, 53461, 1703
1801, 71, 54691, 1797
1901, 71, 55634, 1739
2001, 71, 57113, 1729
2101, 71, 57887, 2020
2201, 71, 54829, 1696
2301, 71, 55910, 1961
2401, 71, 55104, 1795
2501, 71, 59440, 1816
2601, 71, 56900, 1898
2701, 71, 58063, 1827
2801, 71, 57410, 1825
2901, 71, 56079, 1850
3001, 71, 53976, 1926
3101, 71, 57095, 1931
3201, 71, 58064, 1878
3301, 71, 58661, 1991
3401, 71, 59215, 1922
3501, 71, 57656, 1914
3601, 71, 55922, 2073
3701, 71, 58770, 2300
3801, 71, 55950, 2083
3901, 71, 56861, 2010
4001, 71, 60401, 2054
4101, 71, 57055, 2155
4201, 71, 58483, 2088
4301, 71, 58611, 2113
4401, 71, 57147, 2127
4501, 71, 55225, 2067
4601, 71, 53885, 2038
4701, 71, 56984, 1997
4801, 71, 56366, 2021
4901, 71, 56649, 2009
5001, 71, 57701, 2026
5101, 71, 57517, 2015
5201, 71, 62129, 2013
5301, 71, 60225, 2023
5401, 71, 56160, 2038
5501, 71, 62053, 2156
5601, 71, 58376, 2155
5701, 71, 54578, 2035
5801, 71, 57122, 2043
5901, 71, 56478, 2041
6001, 71, 55889, 2047
6101, 71, 54916, 2045
6201, 71, 58964, 2035
6301, 71, 60235, 2044
6401, 71, 58235, 2546
6501, 71, 61136, 2042
6601, 71, 63251, 2231
6701, 71, 58048, 2124
6801, 71, 56498, 2119
6901, 71, 54919, 2059
7001, 71, 56536, 2119
7101, 71, 58554, 2175
7201, 71, 55736, 2055
7301, 71, 58626, 2184
7401, 71, 54699, 2113
7501, 71, 54592, 2061
7601, 71, 59307, 2063
7701, 71, 55203, 2059
7801, 71, 57686, 2064
7901, 71, 58772, 2183
8001, 71, 57572, 2061
8101, 71, 60193, 2179
8201, 71, 59660, 2746
8301, 71, 62253, 2064
8401, 71, 59294, 2067
8501, 71, 61593, 2069
8601, 71, 58397, 2063
8701, 71, 57109, 2069
8801, 71, 58801, 2065
8901, 71, 56646, 2064
9001, 71, 61166, 2067
9101, 71, 60028, 2075
9201, 71, 58025, 2197
9301, 71, 58419, 2075
9401, 71, 57867, 2073
9501, 71, 62765, 2265
9601, 71, 59088, 2069
9701, 71, 61451, 2317
9801, 71, 59036, 2075
9901, 71, 58103, 2065
1, 81, 42016, 2
101, 81, 44361, 367
201, 81, 48612, 626
301, 81, 49192, 695
401, 81, 49514, 848
501, 81, 50692, 1060
601, 81, 54127, 1083
701, 81, 55827, 1191
801, 81, 55061, 1249
901, 81, 53747, 1291
1001, 81, 62105, 1532
1101, 81, 65257, 1643
1201, 81, 61869, 1525
1301, 81, 62234, 1758
1401, 81, 61853, 1718
1501, 81, 63862, 1652
1601, 81, 62374, 1744
1701, 81, 63592, 1780
1801, 81, 66754, 1916
1901, 81, 61722, 1776
2001, 81, 64692, 1816
2101, 81, 63035, 2047
2201, 81, 60746, 1786
2301, 81, 62637, 2080
2401, 81, 63997, 1839
2501, 81, 61317, 1856
2601, 81, 62666, 1919
2701, 81, 63309, 1852
2801, 81, 62356, 1864
2901, 81, 64137, 1890
3001, 81, 64998, 1932
3101, 81, 63990, 1951
3201, 81, 66331, 1950
3301, 81, 66911, 2000
3401, 81, 68283, 1940
3501, 81, 64973, 1996
3601, 81, 68947, 2151
3701, 81, 64865, 2330
3801, 81, 62685, 2086
3901, 81, 64742, 2017
4001, 81, 69254, 2138
4101, 81, 67016, 2175
4201, 81, 71028, 2111
4301, 81, 70512, 2240
4401, 81, 64246, 2141
4501, 81, 62436, 2079
4601, 81, 62056, 2052
4701, 81, 62262, 2011
4801, 81, 65781, 2028
4901, 81, 63235, 2026
5001, 81, 64906, 2039
5101, 81, 65356, 2021
5201, 81, 64876, 2015
5301, 81, 64857, 2029
5401, 81, 64538, 2045
5501, 81, 66184, 2165
5601, 81, 67048, 2162
5701, 81, 60662, 2050
5801, 81, 61831, 2047
5901, 81, 64106, 2049
6001, 81, 64667, 2051
6101, 81, 64001, 2045
6201, 81, 60886, 2041
6301, 81, 62216, 2110
6401, 81, 65741, 2556
6501, 81, 61982, 2048
6601, 81, 68730, 2298
6701, 81, 66602, 2129
6801, 81, 66162, 2127
6901, 81, 64554, 2060
7001, 81, 61585, 2120
7101, 81, 66643, 2184
7201, 81, 63976, 2115
7301, 81, 66595, 2263
7401, 81, 65653, 2116
7501, 81, 61942, 2061
7601, 81, 65066, 2065
7701, 81, 68803, 2061
7801, 81, 67961, 2066
7901, 81, 64888, 2188
8001, 81, 69036, 2061
8101, 81, 65694, 2241
8201, 81, 71589, 2754
8301, 81, 70228, 2065
8401, 81, 67794, 2068
8501, 81, 67679, 2071
8601, 81, 66642, 2065
8701, 81, 65596, 2073
8801, 81, 67250, 2067
8901, 81, 67320, 2065
9001, 81, 69075, 2068
9101, 81, 68819, 2075
9201, 81, 73656, 2201
9301, 81, 70272, 2075
9401, 81, 67072, 2134
9501, 81, 68709, 2266
9601, 81, 70705, 2072
9701, 81, 66817, 2323
9801, 81, 67174, 2075
9901, 81, 65685, 2066
1, 91, 54133, 2
101, 91, 61712, 393
201, 91, 60014, 667
301, 91, 52149, 756
401, 91, 57606, 920
501, 91, 55842, 1149
601, 91, 59563, 1161
701, 91, 58499, 1287
801, 91, 63065, 1284
901, 91, 59621, 1453
1001, 91, 66354, 1580
1101, 91, 68285, 1711
1201, 91, 68009, 1626
1301, 91, 69762, 1939
1401, 91, 68044, 1806
1501, 91, 73492, 1718
1601, 91, 71073, 1805
1701, 91, 70135, 1896
1801, 91, 68787, 1980
1901, 91, 74648, 1813
2001, 91, 70453, 1946
2101, 91, 71172, 2121
2201, 91, 75876, 1840
2301, 91, 68200, 2106
2401, 91, 74400, 1895
2501, 91, 71156, 1894
2601, 91, 72267, 1949
2701, 91, 72330, 1886
2801, 91, 68764, 1901
2901, 91, 72765, 1913
3001, 91, 72465, 1961
3101, 91, 68008, 1960
3201, 91, 80851, 1977
3301, 91, 74839, 2081
