num_wavefunction, num_electrons, time, size
1101, 5, 27964, 1177
1201, 5, 28539, 1207
1301, 5, 27474, 1304
1401, 5, 27840, 1495
1501, 5, 28407, 1510
1601, 5, 28692, 1699
1701, 5, 28530, 1706
1801, 5, 27255, 1932
1901, 5, 28456, 1904
2001, 5, 28354, 2006
2101, 5, 54001, 2106
2201, 5, 31709, 2356
2301, 5, 52396, 2306
2401, 5, 54419, 2563
2501, 5, 56309, 2505
2601, 5, 54273, 2609
2701, 5, 55523, 2881
2801, 5, 55549, 2995
2901, 5, 55311, 3116
3001, 5, 55127, 3012
3101, 5, 54477, 3113
3201, 5, 55264, 3216
3301, 5, 55385, 3313
3401, 5, 54838, 3652
3501, 5, 55497, 3514
3601, 5, 53878, 3842
3701, 5, 56306, 3974
3801, 5, 55456, 3813
3901, 5, 55435, 3910
4001, 5, 57038, 4272
4101, 5, 79407, 4121
4201, 5, 81014, 4226
4301, 5, 81102, 4618
4401, 5, 83114, 4426
4501, 5, 82909, 4839
4601, 5, 82435, 4614
4701, 5, 82761, 4720
4801, 5, 80764, 4821
4901, 5, 81906, 4925
5001, 5, 82445, 5350
5101, 5, 81957, 5129
5201, 5, 83382, 5221
5301, 5, 81811, 5317
5401, 5, 81110, 5426
5501, 5, 82114, 5878
5601, 5, 81688, 5969
5701, 5, 80986, 6071
5801, 5, 83424, 6229
5901, 5, 82650, 6347
6001, 5, 83894, 6025
6101, 5, 85559, 6121
6201, 5, 102354, 6641
6301, 5, 109373, 6311
6401, 5, 108717, 6433
6501, 5, 110303, 6960
6601, 5, 109629, 7081
6701, 5, 109074, 7152
6801, 5, 108900, 7290
6901, 5, 112022, 7412
7001, 5, 104409, 7448
7101, 5, 111278, 7608
7201, 5, 108171, 7693
7301, 5, 108142, 7331
7401, 5, 109832, 7417
7501, 5, 110328, 8021
7601, 5, 106211, 7633
7701, 5, 109727, 7725
7801, 5, 108854, 7832
7901, 5, 110449, 8452
8001, 5, 111552, 8031
8101, 5, 133325, 8118
8201, 5, 115404, 8756
8301, 5, 129715, 8913
8401, 5, 135209, 8431
8501, 5, 136503, 8527
8601, 5, 136529, 8619
8701, 5, 135115, 8728
8801, 5, 135425, 8835
8901, 5, 136967, 9547
9001, 5, 135856, 9610
9101, 5, 135556, 9722
9201, 5, 135696, 9839
9301, 5, 137457, 10005
9401, 5, 135840, 9427
9501, 5, 134637, 9552
9601, 5, 135723, 10284
9701, 5, 136574, 9740
9801, 5, 136463, 10510
9901, 5, 137924, 9935
1, 6, 6779, 1
101, 6, 2565, 103
201, 6, 4490, 201
301, 6, 22898, 328
401, 6, 28023, 434
501, 6, 29846, 505
601, 6, 26932, 648
701, 6, 27764, 753
801, 6, 29641, 807
901, 6, 27513, 904
1001, 6, 27505, 1005
1101, 6, 28049, 1104
1201, 6, 29525, 1293
1301, 6, 26500, 1311
1401, 6, 28705, 1513
1501, 6, 27354, 1516
1601, 6, 28881, 1720
1701, 6, 26724, 1710
1801, 6, 28043, 1817
1901, 6, 28969, 2062
2001, 6, 28399, 2168
2101, 6, 54169, 2111
2201, 6, 31821, 2215
2301, 6, 52675, 2498
2401, 6, 54340, 2612
2501, 6, 55238, 2520
2601, 6, 55248, 2806
2701, 6, 54032, 2901
2801, 6, 56543, 2821
2901, 6, 54014, 2918
3001, 6, 56287, 3265
3101, 6, 54414, 3365
3201, 6, 55196, 3218
3301, 6, 53889, 3597
3401, 6, 55232, 3695
3501, 6, 55998, 3518
3601, 6, 55189, 3621
3701, 6, 52415, 4018
3801, 6, 54762, 3827
3901, 6, 55405, 4237
4001, 6, 56899, 4342
4101, 6, 81234, 4121
4201, 6, 80648, 4221
4301, 6, 81689, 4644
4401, 6, 82733, 4424
4501, 6, 83020, 4525
4601, 6, 81384, 4951
4701, 6, 82922, 4726
4801, 6, 81288, 5209
4901, 6, 80919, 4937
5001, 6, 83270, 5427
5101, 6, 81479, 5130
5201, 6, 82170, 5227
5301, 6, 81479, 5327
5401, 6, 80335, 5883
5501, 6, 83369, 5938
5601, 6, 80631, 5630
5701, 6, 83234, 5737
5801, 6, 81812, 6270
5901, 6, 82819, 6369
6001, 6, 106489, 6530
6101, 6, 86378, 6596
6201, 6, 104387, 6252
6301, 6, 108610, 6808
6401, 6, 109639, 6435
6501, 6, 108141, 7013
6601, 6, 110480, 6634
6701, 6, 108805, 7281
6801, 6, 107762, 6838
6901, 6, 108271, 7473
7001, 6, 109342, 7052
7101, 6, 109491, 7141
7201, 6, 109227, 7240
7301, 6, 107117, 7889
7401, 6, 108922, 8011
7501, 6, 107900, 7546
7601, 6, 109085, 7647
7701, 6, 109222, 8340
7801, 6, 109590, 7846
7901, 6, 111565, 7938
8001, 6, 132384, 8039
8101, 6, 113177, 8779
8201, 6, 131812, 8250
8301, 6, 133771, 8974
8401, 6, 117289, 8446
8501, 6, 128724, 8555
8601, 6, 135253, 8658
8701, 6, 135587, 9429
8801, 6, 134589, 8850
8901, 6, 137758, 9645
9001, 6, 135220, 9733
9101, 6, 135346, 9150
9201, 6, 136256, 9997
9301, 6, 134367, 9356
9401, 6, 135691, 9457
9501, 6, 134386, 10280
9601, 6, 136611, 10357
9701, 6, 134747, 9756
9801, 6, 136466, 10600
9901, 6, 138282, 10691
1, 7, 4484, 1
101, 7, 2449, 110
201, 7, 4068, 232
301, 7, 24753, 325
401, 7, 28480, 439
501, 7, 28032, 504
601, 7, 28408, 605
701, 7, 27689, 763
801, 7, 28906, 809
901, 7, 27795, 913
1001, 7, 28694, 1091
1101, 7, 26068, 1106
1201, 7, 29505, 1213
1301, 7, 28002, 1312
1401, 7, 28264, 1525
1501, 7, 26363, 1517
1601, 7, 28457, 1609
1701, 7, 27545, 1715
1801, 7, 27996, 1976
1901, 7, 28603, 2065
2001, 7, 28163, 2014
2101, 7, 53388, 2291
2201, 7, 31543, 2432
2301, 7, 53382, 2316
2401, 7, 54907, 2617
2501, 7, 54105, 2703
2601, 7, 55139, 2626
2701, 7, 55393, 2726
2801, 7, 53674, 3076
2901, 7, 54888, 3155
3001, 7, 55241, 3278
3101, 7, 54246, 3390
3201, 7, 55951, 3229
3301, 7, 54183, 3332
3401, 7, 54575, 3433
3501, 7, 55995, 3844
3601, 7, 52846, 3941
3701, 7, 54180, 3735
3801, 7, 54553, 3827
3901, 7, 55296, 3931
4001, 7, 57333, 4028
4101, 7, 78794, 4507
4201, 7, 81888, 4230
4301, 7, 81486, 4333
4401, 7, 82540, 4432
4501, 7, 82343, 4534
4601, 7, 80477, 4632
4701, 7, 83235, 4736
4801, 7, 81498, 5295
4901, 7, 80070, 4945
5001, 7, 83359, 5422
5101, 7, 80394, 5560
5201, 7, 80583, 5670
5301, 7, 82790, 5809
5401, 7, 81822, 5446
5501, 7, 80458, 5535
5601, 7, 82407, 5631
5701, 7, 80762, 6240
5801, 7, 81894, 5848
